sample_id,matrix,datetime,lon,lat,compound,class,value,unit,lod,loq
S035,water,2025-05-17T00:00:00,112.24053939255833,29.58643716816596,Sulfamethoxazole,SA,38.427,ng/L,2.668,5.335
S036,biota,2025-10-27T00:00:00,112.90429677454205,29.420628270709066,Tetracycline,TC,56.456,ng/g,9.185,18.371
S037,water,2025-03-17T00:00:00,112.51054701223005,29.872805598677136,Chloramphenicol,CHL,16.428,ng/L,7.787,15.575
S038,water,2025-08-20T00:00:00,112.72519327044738,29.556475624902212,Ciprofloxacin,FQ,22.737,ng/L,3.327,6.654
S039,water,2025-08-26T00:00:00,112.77649010051869,29.883227814438165,Chloramphenicol,CHL,52.646,ng/L,0.663,1.325
S040,water,2025-09-01T00:00:00,112.75999314259002,29.912488036329812,Sulfamethoxazole,SA,56.848,ng/L,4.488,8.976
S041,biota,2025-10-17T00:00:00,112.19940320918509,29.277185540291264,Chloramphenicol,CHL,60.497,ng/g,5.131,10.261
S042,sediment,2025-05-18T00:00:00,112.89275494175604,29.202588527202604,Ciprofloxacin,FQ,22.147,ng/g,4.531,9.061
S043,water,2025-08-11T00:00:00,112.07254609965649,29.24063875845327,Erythromycin,MAC,28.79,ng/L,0.824,1.648
S044,biota,2025-06-05T00:00:00,112.2531078374597,29.1372546029653,Ciprofloxacin,FQ,11.72,ng/g,4.731,9.461
S045,water,2025-08-06T00:00:00,112.98987145474429,29.832444669482946,Sulfamethoxazole,SA,22.643,ng/L,1.699,3.397
S046,water,2025-06-11T00:00:00,112.09219402612858,29.365952514257156,Tetracycline,TC,62.555,ng/L,3.446,6.892
S047,water,2025-01-13T00:00:00,112.33149788914199,29.623927073891863,Erythromycin,MAC,116.667,ng/L,5.171,10.343
S048,biota,2025-02-03T00:00:00,112.26556427234352,29.039588189914067,Ciprofloxacin,FQ,78.497,ng/g,7.812,15.624
S049,sediment,2025-07-28T00:00:00,112.91141381618361,29.81897897978128,Tetracycline,TC,83.139,ng/g,2.66,5.32
S050,water,2025-06-03T00:00:00,112.27906230134909,29.799587552906615,Chloramphenicol,CHL,95.233,ng/L,1.915,3.83
S051,water,2025-01-21T00:00:00,112.08856592179558,29.260551885394325,Sulfamethoxazole,SA,53.38,ng/L,6.121,12.242
S052,water,2025-06-18T00:00:00,112.41776033436261,29.91542670330301,Sulfamethoxazole,SA,69.3,ng/L,6.255,12.51
S053,water,2025-04-04T00:00:00,112.96921281636841,29.261895291882603,Sulfamethoxazole,SA,82.049,ng/L,1.893,3.787
S054,sediment,2025-05-15T00:00:00,112.50008859986184,29.177899884212927,Chloramphenicol,CHL,35.468,ng/g,3.535,7.071
S055,biota,2025-01-01T00:00:00,112.01843389669865,29.50565398149974,Sulfamethoxazole,SA,31.302,ng/g,9.783,19.565
S056,water,2025-07-22T00:00:00,112.49500157345761,29.83461393333022,Erythromycin,MAC,48.323,ng/L,3.992,7.983
S057,water,2025-04-08T00:00:00,112.34270462541747,29.83228654326445,Chloramphenicol,CHL,33.279,ng/L,7.097,14.193
S058,biota,2025-03-01T00:00:00,112.070722815584,29.740889198182927,Tetracycline,TC,30.797,ng/g,2.63,5.261
S059,water,2025-07-28T00:00:00,112.50594290845501,29.970929982378582,Ciprofloxacin,FQ,47.319,ng/L,6.028,12.056
S060,water,2025-08-01T00:00:00,112.26324306699739,29.961786533362613,Ciprofloxacin,FQ,42.881,ng/L,9.729,19.458
S061,water,2025-01-10T00:00:00,112.21786585715849,29.1829578876575,Chloramphenicol,CHL,67.474,ng/L,3.42,6.84
S062,water,2025-01-03T00:00:00,112.26416868580166,29.08975339788098,Ciprofloxacin,FQ,60.17,ng/L,4.055,8.11
S063,water,2025-05-10T00:00:00,112.6296698766411,29.08448271144616,Sulfamethoxazole,SA,58.774,ng/L,9.581,19.161
S064,water,2025-06-24T00:00:00,112.98472908507429,29.14946314904225,Chloramphenicol,CHL,38.428,ng/L,7.269,14.538
S065,water,2025-09-21T00:00:00,112.42924470256159,29.70105329016014,Ciprofloxacin,FQ,85.278,ng/L,5.105,10.21
S066,sediment,2025-01-27T00:00:00,112.68647174227283,29.797967187261804,Chloramphenicol,CHL,27.577,ng/g,7.141,14.281
S067,water,2025-01-05T00:00:00,112.63711987704566,29.959516071564828,Ciprofloxacin,FQ,42.302,ng/L,3.829,7.657
S068,sediment,2025-04-16T00:00:00,112.26379289480533,29.45694852469636,Sulfamethoxazole,SA,52.427,ng/g,0.794,1.588
S069,biota,2025-02-22T00:00:00,112.525990151361,29.74572790963045,Chloramphenicol,CHL,67.585,ng/g,4.791,9.582
S070,sediment,2025-04-08T00:00:00,112.73982859142075,29.97573509410277,Ciprofloxacin,FQ,4.941,ng/g,4.99,9.98
S071,water,2025-05-25T00:00:00,112.0467474879099,29.632792842706763,Erythromycin,MAC,31.815,ng/L,2.063,4.126
S072,sediment,2025-03-01T00:00:00,112.48242069826023,29.485798047995363,Tetracycline,TC,36.839,ng/g,9.728,19.456
S073,sediment,2025-08-10T00:00:00,112.70887092140715,29.285543542092018,Sulfamethoxazole,SA,58.517,ng/g,4.712,9.425
S074,water,2025-02-16T00:00:00,112.01750445581666,29.458970822963597,Chloramphenicol,CHL,28.642,ng/L,8.217,16.434
S075,biota,2025-07-07T00:00:00,112.91655477840891,29.930536055644666,Erythromycin,MAC,84.978,ng/g,0.839,1.677
S076,biota,2025-03-20T00:00:00,112.82021701061478,29.50874435364878,Tetracycline,TC,72.291,ng/g,8.88,17.76
S077,water,2025-08-13T00:00:00,112.02483440309067,29.00359047166973,Tetracycline,TC,29.809,ng/L,4.968,9.936
S078,water,2025-07-11T00:00:00,112.12090935439043,29.33132436127768,Ciprofloxacin,FQ,56.454,ng/L,3.313,6.626
S079,sediment,2025-02-07T00:00:00,112.71302356579693,29.901566563098935,Tetracycline,TC,32.65,ng/g,2.969,5.939
S080,water,2025-07-25T00:00:00,112.27515525262248,29.048268096749766,Chloramphenicol,CHL,67.967,ng/L,1.107,2.214
S081,sediment,2025-03-08T00:00:00,112.97103859682178,29.43624074392738,Tetracycline,TC,56.364,ng/g,3.224,6.449
S082,biota,2025-07-18T00:00:00,112.54922814818796,29.719572581951148,Erythromycin,MAC,6.621,ng/g,0.59,1.18
S083,water,2025-03-21T00:00:00,112.86947884623862,29.485575080282814,Erythromycin,MAC,35.453,ng/L,9.128,18.256
S084,water,2025-05-09T00:00:00,112.73903250499625,29.976296176409853,Erythromycin,MAC,45.262,ng/L,2.676,5.351
S085,water,2025-09-22T00:00:00,112.39436777770328,29.167332467758694,Ciprofloxacin,FQ,64.221,ng/L,1.7,3.401
S086,water,2025-08-11T00:00:00,112.9964751136247,29.449960443581812,Erythromycin,MAC,102.467,ng/L,1.482,2.964
S087,water,2025-03-11T00:00:00,112.55587408759516,29.31928774147575,Ciprofloxacin,FQ,56.122,ng/L,3.746,7.492
S088,sediment,2025-07-13T00:00:00,112.41388357241333,29.524168142750895,Sulfamethoxazole,SA,34.354,ng/g,3.831,7.662
S089,sediment,2025-08-09T00:00:00,112.57428076839213,29.36014523450936,Tetracycline,TC,6.554,ng/g,6.899,13.798
S090,water,2025-04-13T00:00:00,112.39975713674569,29.44585839235661,Ciprofloxacin,FQ,41.931,ng/L,9.544,19.088
S091,water,2025-07-23T00:00:00,112.76369076889527,29.804249267825995,Sulfamethoxazole,SA,40.276,ng/L,9.686,19.372
S092,biota,2025-08-08T00:00:00,112.78310718468612,29.223800414460737,Chloramphenicol,CHL,50.623,ng/g,1.605,3.211
S093,biota,2025-08-03T00:00:00,112.5515009148185,29.039546258757756,Sulfamethoxazole,SA,56.138,ng/g,7.845,15.69
S094,biota,2025-05-17T00:00:00,112.63629109738343,29.69858191731456,Tetracycline,TC,105.841,ng/g,1.21,2.42
S095,water,2025-10-07T00:00:00,112.38808194742263,29.22358303361004,Sulfamethoxazole,SA,71.134,ng/L,6.051,12.101
S096,water,2025-06-21T00:00:00,112.8394112056775,29.24235760029632,Erythromycin,MAC,51.391,ng/L,5.31,10.62
S097,water,2025-07-23T00:00:00,112.64964997997431,29.055308714671337,Chloramphenicol,CHL,77.046,ng/L,2.022,4.043
S098,water,2025-07-12T00:00:00,112.22678607324468,29.034097423373332,Sulfamethoxazole,SA,26.11,ng/L,3.447,6.893
S099,water,2025-07-07T00:00:00,112.00675346551138,29.292111208581396,Erythromycin,MAC,76.666,ng/L,8.467,16.934
S100,water,2025-04-08T00:00:00,112.4651140736151,29.265021955672434,Ciprofloxacin,FQ,62.027,ng/L,8.904,17.809
S101,biota,2025-08-20T00:00:00,112.18731321317313,29.223324138559793,Sulfamethoxazole,SA,19.074,ng/g,4.229,8.457
S102,biota,2025-01-07T00:00:00,112.0236287189582,29.59612713859909,Ciprofloxacin,FQ,2.514,ng/g,4.212,8.425
S103,water,2025-08-23T00:00:00,112.88358363743275,29.732723765918653,Sulfamethoxazole,SA,70.31,ng/L,9.976,19.951
S104,sediment,2025-09-24T00:00:00,112.46761582815567,29.31182714301668,Ciprofloxacin,FQ,40.69,ng/g,7.281,14.562
S105,biota,2025-08-06T00:00:00,112.10895763339751,29.078242013452996,Tetracycline,TC,4.391,ng/g,0.9,1.799
S106,biota,2025-04-13T00:00:00,112.35662922090837,29.821573617374145,Chloramphenicol,CHL,75.005,ng/g,8.238,16.476
S107,water,2025-08-07T00:00:00,112.37271438942498,29.919506419050304,Erythromycin,MAC,14.939,ng/L,2.011,4.022
S108,sediment,2025-04-26T00:00:00,112.62540830497942,29.404772609775137,Sulfamethoxazole,SA,90.149,ng/g,3.818,7.636
S109,water,2025-01-09T00:00:00,112.19494145175284,29.062851741154134,Erythromycin,MAC,35.284,ng/L,6.096,12.191
S110,water,2025-06-09T00:00:00,112.29740587624737,29.721572069493327,Chloramphenicol,CHL,67.127,ng/L,5.996,11.992
S111,water,2025-04-04T00:00:00,112.4751890578536,29.956777650607705,Sulfamethoxazole,SA,35.622,ng/L,9.544,19.087
S112,sediment,2025-03-16T00:00:00,112.18293923146058,29.802568323396564,Erythromycin,MAC,62.435,ng/g,7.411,14.822
S113,sediment,2025-06-28T00:00:00,112.319548781669,29.36185844081516,Ciprofloxacin,FQ,64.574,ng/g,7.844,15.689
S114,water,2025-02-21T00:00:00,112.03386371941633,29.552594643418615,Ciprofloxacin,FQ,57.895,ng/L,3.325,6.65
S115,biota,2025-02-09T00:00:00,112.62460157337846,29.208341040435602,Erythromycin,MAC,116.716,ng/g,4.268,8.537
S116,water,2025-07-15T00:00:00,112.62030764588164,29.674108618758122,Ciprofloxacin,FQ,45.142,ng/L,7.505,15.01
S117,sediment,2025-05-10T00:00:00,112.27939691071872,29.26766588071712,Sulfamethoxazole,SA,48.255,ng/g,2.615,5.23
S118,water,2025-03-10T00:00:00,112.88416781952655,29.57828075578995,Ciprofloxacin,FQ,76.84,ng/L,3.331,6.661
S119,water,2025-04-17T00:00:00,112.52630874686972,29.649640655580484,Erythromycin,MAC,43.309,ng/L,1.095,2.191
S120,water,2025-04-27T00:00:00,112.44829715724569,29.37387628883393,Sulfamethoxazole,SA,51.544,ng/L,8.781,17.562
S121,water,2025-04-20T00:00:00,112.97296517959181,29.583193765537153,Ciprofloxacin,FQ,15.17,ng/L,9.309,18.617
S122,sediment,2025-01-04T00:00:00,112.63745729324332,29.709706102460235,Erythromycin,MAC,86.061,ng/g,3.562,7.124
S123,water,2025-03-02T00:00:00,112.20397643744852,29.254913673089714,Sulfamethoxazole,SA,40.23,ng/L,6.034,12.069
S124,sediment,2025-07-22T00:00:00,112.37180924553532,29.621013792695074,Sulfamethoxazole,SA,36.257,ng/g,0.872,1.743
S125,sediment,2025-09-16T00:00:00,112.06327107852825,29.10138776746276,Sulfamethoxazole,SA,16.06,ng/g,4.013,8.027
S126,sediment,2025-07-23T00:00:00,112.27116687156102,29.988238739097874,Sulfamethoxazole,SA,38.94,ng/g,6.711,13.423
S127,biota,2025-05-24T00:00:00,112.56652006420266,29.357181716070176,Erythromycin,MAC,105.472,ng/g,4.223,8.446
S128,sediment,2025-07-24T00:00:00,112.4049734413897,29.941987410231505,Tetracycline,TC,13.524,ng/g,4.398,8.796
S129,water,2025-02-13T00:00:00,112.57779566111294,29.364727120555237,Ciprofloxacin,FQ,55.577,ng/L,7.753,15.506
S130,sediment,2025-07-03T00:00:00,112.57286450730409,29.927227559468474,Ciprofloxacin,FQ,55.937,ng/g,7.399,14.798
S131,water,2025-05-06T00:00:00,112.52115887531478,29.9254997899167,Ciprofloxacin,FQ,4.889,ng/L,1.177,2.354
S132,water,2025-01-16T00:00:00,112.31452596972417,29.607644713864982,Ciprofloxacin,FQ,52.693,ng/L,6.4,12.8
S133,biota,2025-10-23T00:00:00,112.82455575385048,29.160276149513756,Sulfamethoxazole,SA,54.443,ng/g,7.88,15.759
S134,sediment,2025-03-19T00:00:00,112.2181368771323,29.399745583076395,Ciprofloxacin,FQ,75.063,ng/g,5.227,10.454
S135,water,2025-03-08T00:00:00,112.9706922972566,29.81564973963272,Erythromycin,MAC,85.826,ng/L,2.007,4.013
S136,sediment,2025-06-04T00:00:00,112.38983651697278,29.45573349706867,Sulfamethoxazole,SA,17.957,ng/g,8.505,17.01
S137,sediment,2025-05-19T00:00:00,112.24925884921655,29.389212054452617,Tetracycline,TC,34.314,ng/g,3.738,7.476
S138,sediment,2025-08-15T00:00:00,112.23525092338636,29.763565194745176,Sulfamethoxazole,SA,49.647,ng/g,7.822,15.644
S139,sediment,2025-08-13T00:00:00,112.10707607170285,29.128455879975668,Erythromycin,MAC,72.642,ng/g,4.363,8.726
S140,sediment,2025-01-21T00:00:00,112.1302709660101,29.922125993173424,Chloramphenicol,CHL,64.714,ng/g,3.206,6.412
S141,water,2025-09-13T00:00:00,112.65274565630308,29.784242772580576,Chloramphenicol,CHL,81.543,ng/L,0.356,0.712
S142,water,2025-08-10T00:00:00,112.95663928844776,29.91604122366738,Sulfamethoxazole,SA,63.976,ng/L,1.735,3.469
S143,water,2025-06-20T00:00:00,112.75617976674602,29.158767449288362,Ciprofloxacin,FQ,42.81,ng/L,8.976,17.951
S144,water,2025-08-07T00:00:00,112.59188776659121,29.61586624015873,Ciprofloxacin,FQ,95.407,ng/L,2.45,4.901
S145,water,2025-03-13T00:00:00,112.16122934696504,29.93640376089661,Tetracycline,TC,62.034,ng/L,6.829,13.658
S146,water,2025-09-02T00:00:00,112.63631867511786,29.359779126689993,Tetracycline,TC,40.715,ng/L,8.742,17.484
S147,water,2025-02-09T00:00:00,112.99295460831897,29.62977621597498,Chloramphenicol,CHL,55.785,ng/L,4.003,8.006
S148,water,2025-06-11T00:00:00,112.76463919193584,29.4422816278789,Tetracycline,TC,31.266,ng/L,1.85,3.7
S149,water,2025-09-09T00:00:00,112.31007244169145,29.96595723915141,Sulfamethoxazole,SA,97.878,ng/L,8.716,17.432
S150,sediment,2025-04-05T00:00:00,112.29097161901036,29.625617999078578,Sulfamethoxazole,SA,26.901,ng/g,4.235,8.47
S151,biota,2025-03-16T00:00:00,112.22725964048892,29.65310842577803,Tetracycline,TC,73.407,ng/g,0.321,0.641
S152,water,2025-09-08T00:00:00,112.4132384626835,29.301154982962398,Sulfamethoxazole,SA,50.385,ng/L,1.424,2.848
S153,sediment,2025-08-06T00:00:00,112.13474869738603,29.936590915929546,Tetracycline,TC,56.634,ng/g,2.512,5.023
S154,biota,2025-05-13T00:00:00,112.81157052713812,29.967135399665654,Ciprofloxacin,FQ,59.049,ng/g,0.656,1.311
S155,biota,2025-10-21T00:00:00,112.57847249838527,29.60188146633772,Chloramphenicol,CHL,34.997,ng/g,5.224,10.448
S156,water,2025-09-01T00:00:00,112.40598872442288,29.237668806010607,Sulfamethoxazole,SA,50.674,ng/L,0.678,1.356
S157,water,2025-09-22T00:00:00,112.94092060772522,29.142266544797856,Sulfamethoxazole,SA,26.865,ng/L,2.075,4.15
S158,sediment,2025-03-17T00:00:00,112.30938249128883,29.300266166224805,Erythromycin,MAC,31.326,ng/g,0.58,1.16
S159,sediment,2025-01-13T00:00:00,112.84443247643595,29.745187445821312,Erythromycin,MAC,48.579,ng/g,4.706,9.412
S160,biota,2025-05-08T00:00:00,112.64401975303008,29.123266528066367,Ciprofloxacin,FQ,22.597,ng/g,8.924,17.847
S161,sediment,2025-05-21T00:00:00,112.55378775804665,29.436052722377582,Tetracycline,TC,30.578,ng/g,7.906,15.811
S162,water,2025-09-01T00:00:00,112.16976957962191,29.90470252361975,Ciprofloxacin,FQ,47.143,ng/L,8.433,16.866
S163,biota,2025-06-07T00:00:00,112.88016479751995,29.32855372578823,Ciprofloxacin,FQ,79.501,ng/g,2.468,4.936
S164,water,2025-09-23T00:00:00,112.00638171179237,29.02651676861356,Chloramphenicol,CHL,30.639,ng/L,9.561,19.123
S165,water,2025-05-26T00:00:00,112.21196610772284,29.62262206960717,Ciprofloxacin,FQ,61.834,ng/L,0.87,1.74
S166,water,2025-10-06T00:00:00,112.34486368281698,29.14184158817485,Sulfamethoxazole,SA,42.572,ng/L,0.384,0.769
S167,water,2025-01-23T00:00:00,112.06782769215692,29.046689071251194,Sulfamethoxazole,SA,51.231,ng/L,8.579,17.159
S168,biota,2025-02-28T00:00:00,112.75577256764777,29.71124646026139,Chloramphenicol,CHL,33.377,ng/g,3.9,7.8
S169,water,2025-02-02T00:00:00,112.03442682288029,29.847717247241075,Ciprofloxacin,FQ,18.948,ng/L,8.139,16.278
S170,water,2025-03-04T00:00:00,112.79196729330245,29.646320195533285,Tetracycline,TC,15.145,ng/L,3.015,6.03
S171,water,2025-01-12T00:00:00,112.2567022661127,29.282593220833004,Tetracycline,TC,35.146,ng/L,7.186,14.372
S172,water,2025-05-20T00:00:00,112.7456548961325,29.78905585715861,Chloramphenicol,CHL,66.216,ng/L,0.409,0.819
S173,sediment,2025-06-16T00:00:00,112.70465946978418,29.537880544111857,Chloramphenicol,CHL,57.074,ng/g,2.244,4.488
S174,water,2025-01-17T00:00:00,112.20203516847144,29.762181019414353,Tetracycline,TC,41.689,ng/L,9.781,19.562
S175,water,2025-02-16T00:00:00,112.69520794448832,29.82533989239126,Sulfamethoxazole,SA,2.446,ng/L,9.675,19.35
S176,water,2025-03-10T00:00:00,112.81524094354148,29.938289230312996,Chloramphenicol,CHL,15.524,ng/L,2.392,4.784
S177,water,2025-02-16T00:00:00,112.78791407489118,29.697158340821076,Ciprofloxacin,FQ,33.735,ng/L,7.891,15.781
S178,biota,2025-02-14T00:00:00,112.88844878707724,29.02517403194271,Erythromycin,MAC,33.125,ng/g,2.141,4.281
S179,water,2025-09-17T00:00:00,112.17110477670509,29.982409893601975,Tetracycline,TC,62.223,ng/L,6.344,12.689
S180,sediment,2025-10-21T00:00:00,112.03388411066298,29.58158108090356,Chloramphenicol,CHL,45.506,ng/g,5.265,10.53
